48,Aryeh Deri,1959/02/17,2800 Spring Avn SW,Decatur,AL,35603,0919977921
49,John Corigliano,1938/02/16,11610 Memorial Pkwy South,Huntsville,AL,35803,0219311861
50,Sharpe James,1936/02/20,2 Gannett Dr,Johnson City,NY,13790,0041535922
51,Marion McClinton,NA,2181 Pelham Pkwy,Pelham,AL,35124,0167168913
52,Jeff Maggert,1964/02/20,701 Mcmeans Ave,Bay Minette,AL,36507,0220373066
53,John Sayles,1950/09/28,200 Otis Street,Northborough,MA,1532,0560978853
54,George Bernard Shaw,1856/07/26,6495 Atlanta Hwy,Montgomery,AL,36117,0451772772
55,Rick Dipietro,1981/09/19,170 Fort Morgan Road,Gulf Shores,AL,36542,0675336819
56,Steve Martin,1945/08/14,297 Grant Avenue,Auburn,NY,13021,0619079799
57,Mary Ann Glendon,1938/10/07,5245 Rangeline Service Rd,Mobile,AL,36619,0809657285
58,Donna Karan,1948/10/02,4206 N College Ave,Jackson,AL,36545,0236133554
59,Kalpana Chawla,1962/03/17,6265 Brockport Spencerport Rd,Brockport,NY,14420,0522841715
60,Arantxa Sanchez Vicario,1971/12/18,1775 Washington St,Hanover,MA,2339,0649068934
61,NA Rembrandt Harmenszoon van Rijn,1606/07/15,4133 Veterans Memorial Drive,Batavia,NY,14020,0369367631
62,William Trevor,1928/05/24,301 Massachusetts Ave,Lunenburg,MA,1462,0353040708
63,Carl Hiaasen,1953/03/12,700 Oak Street,Brockton,MA,2301,0661277562
64,Jacques A Nasser,1947/12/12,5919 Trussville Crossings Pkwy,Birmingham,AL,35235,0021378228
65,Bill Romanowski,1966/04/02,600 Boll Weevil Circle,Enterprise,AL,36330,0456430983
66,Peter Jennings,1938/07/29,36 Paramount Drive,Raynham,MA,2767,0056965633
67,Czeslaw Milosz,1911/06/30,180 North King Street,Northhampton,MA,1060,0560165825
68,Nicholas Christopher,1951/01/01,150 Springville Station Blvd,Springville,AL,35146,0265003304
69,Gidon Kremer,1947/02/27,1600 Montclair Rd,Birmingham,AL,35210,0787102082
70,John G Koeltl,1945/01/01,1300 Gilmer Ave,Tallassee,AL,36078,0022269316
71,Kobe Bryant,1978/08/23,10040 County Road 48,Fairhope,AL,36533,0711565653
72,Mitsuko Uchida,1948/12/20,700 Oak Street,Brockton,MA,2301,0215216923
73,Johannes Brahms,1833/05/07,420 Buckland Hills Dr,Manchester,CT,6040,0192687916
74,Jacob J Chestnut,1940/04/28,2300 Dixwell Ave,Hamden,CT,6514,0070946266
75,Gustavo Kuerten,1976/09/10,425 Route 31,Macedon,NY,14502,0482045997
76,Sidney Blumenthal,1948/11/06,72 Main St,North Reading,MA,1864,0246753594
77,Jodie Foster,1962/11/19,2 Gannett Dr,Johnson City,NY,13790,0150231787
78,Sergei Prokofiev,1891/04/27,4133 Veterans Memorial Drive,Batavia,NY,14020,0686699629
79,James Brown,1933/05/03,515 Sawmill Road,West Haven,CT,6516,0604079437
80,Ron Artest,1979/11/13,470 Route 211 East,Middletown,NY,10940,0820284184
81,John Zorn,1953/09/02,92 Plaza Lane,Oxford,AL,36203,0279036731
82,Doug Varone,NA,506 State Road,North Dartmouth,MA,2747,0768099066
83,Louisa May Alcott,1832/11/29,517 West Avalon Ave,Muscle Shoals,AL,35661,0285305985
84,Adolph Green,1914/12/02,72 Main St,North Reading,MA,1864,0620490455
85,Tim Couch,1977/07/31,42417 Hwy 195,Haleyville,AL,35565,0591296890
86,Amiri Baraka,1934/10/07,69 Prospect Hill Road,East Windsor,CT,6088,0871342086
87,Khalid Khannouchi,1971/09/12,1501 Skyland Blvd E,Tuscaloosa,AL,35405,0219736402
88,Christine Baranski,1952/05/02,5245 Rangeline Service Rd,Mobile,AL,36619,0279450626
89,David McCullough,1933/07/07,5399 W Genesse St,Camillus,NY,13031,0448940588
90,Cherie Blair,1954/09/23,3949 Route 31,Clay,NY,13041,0097228987
91,Lee Janzen,1964/08/28,161 Berlin Road,Cromwell,CT,6416,0311893020
92,Lawton Chiles,1930/04/03,750 Academy Drive,Bessemer,AL,35022,0805240782
93,Lee Krasner,1908/10/27,550 Providence Hwy,Walpole,MA,2081,0588373814
94,Lincoln Chafee,1953/03/26,8551 Whitfield Ave,Leeds,AL,35094,0598077253
95,Spencer Abraham,1952/06/12,4300 Lakeville Road,Geneseo,NY,14454,0322710932
96,W Ann Reynolds,1938/01/01,2643 Hwy 280 West,Alexander City,AL,35010,0598191101
97,Studs Terkel,1912/05/16,900 Boston Post Road,Guilford,CT,6437,0585716827
98,Bela Bartok,1881/03/25,685 Schillinger Rd,Mobile,AL,36695,0491591656
99,Peggy Lee,1920/05/26,990 Route 5 20,Geneva,NY,14456,0508601466
100,Robert D Kaplan,1952/06/23,301 Falls Blvd,Quincy,MA,2169,0131803158
101,Claude Lemieux,1965/07/16,6140A Univ Drive,Huntsville,AL,35806,0915607875
102,Joseph V Jr Doria,1946/06/28,69 Prospect Hill Road,East Windsor,CT,6088,0031973616
103,Michael Kors,1959/08/09,6438 Basile Rowe,East Syracuse,NY,13057,0457340940
104,Ronald Radosh,1937/01/01,777 Brockton Avenue,Abington,MA,2351,0640056857
105,Thomas Middelhoff,1953/05/11,311 RT 9W,Glenmont,NY,12077,0830582260
106,Martin McDonagh,1970/03/26,970 Torringford Street,Torrington,CT,6790,0660582972
107,Maggie Gyllenhaal,1977/11/16,8551 Whitfield Ave,Leeds,AL,35094,0702663863
108,Paul Tergat,1969/06/17,55 Brooksby Village Way,Danvers,MA,1923,0238569835
109,Robert De Niro,1943/08/17,700 Oak Street,Brockton,MA,2301,0272465217
110,Marisa Tomei,1964/12/04,701 Mcmeans Ave,Bay Minette,AL,36507,0700505548
111,Monica Goodling,1973/08/06,600 Boll Weevil Circle,Enterprise,AL,36330,0043570230
112,Lani Guinier,1950/04/19,690 Hwy 78,Sumiton,AL,35148,0447861462
113,Warren Moon,1956/11/18,180 River Rd,Lisbon,CT,6351,0796379117
114,Charles Barkley,1963/02/20,200 Otis Street,Northborough,MA,1532,0510630372
115,Robert Spano,1961/05/07,139 Merchant Place,Cobleskill,NY,12043,0731840489
116,Ismail Merchant,1936/12/25,300 Colony Place,Plymouth,MA,2360,0466918378
117,Ehud Barak,1942/02/12,10401 Bennett Road,Fredonia,NY,14063,0078331679
118,Ali Al- Naimi,1935/01/01,150 Barnum Avenue Cutoff,Stratford,CT,6614,0637137794
119,Christopher Durang,1949/01/02,677 Timpany Blvd,Gardner,MA,1440,0355819448
120,Gary Bettman,1952/06/02,4310 Montgomery Hwy,Dothan,AL,36303,0906791328
121,Hal Hartley,1959/11/03,2 Gannett Dr,Johnson City,NY,13790,0934648399
122,David Vitter,1961/05/03,350 E Fairmount Ave,Lakewood,NY,14750,0491784521
123,Robin Toner,1954/05/22,9248 Parkway East,Birmingham,AL,35206,0860777676
124,Gordon Parks,1912/11/30,10401 Bennett Road,Fredonia,NY,14063,0757665771
125,John Fitzgerald Kennedy,1917/05/29,3018 East Ave,Central Square,NY,13036,0447238033
126,Burt Bacharach,1928/05/12,677 Timpany Blvd,Gardner,MA,1440,0905899093
127,Robin Pogrebin,1965/05/17,1365 Boston Post Road,Milford,CT,6460,0308418539
128,Keith Olbermann,1959/01/27,777 Brockton Avenue,Abington,MA,2351,0179588059
129,George Armstrong Custer,1839/12/05,2900 Pepperrell Pkwy,Opelika,AL,36801,0510077076
130,David N Dinkins,1927/07/10,5710 Mcfarland Blvd,Northport,AL,35476,0844682740
131,Thomas Johansson,1975/03/24,30 Memorial Drive,Avon,MA,2322,0193538386
132,Pete Harnisch,1966/09/23,92 Plaza Lane,Oxford,AL,36203,0717094987
133,John Pawson,1949/05/06,312 Palisades Blvd,Birmingham,AL,35209,0174468407
134,Mahmoud Abbas,1935/03/26,1095 Industrial Pkwy,Saraland,AL,36571,0429405116
135,Daniel Boulud,1955/03/25,2465 Hempstead Turnpike,East Meadow,NY,11554,0869829605
136,Shirin Ebadi,1947/06/21,5033 Transit Road,Clarence,NY,14031,0545455291
137,Robert Frost,1874/03/26,4206 N College Ave,Jackson,AL,36545,0175632891
138,Gary Sinise,1955/03/17,8650 Madison Blvd,Madison,AL,35758,0564230073
139,Jil Sander,1943/11/27,517 West Avalon Ave,Muscle Shoals,AL,35661,0402370917
140,Anton Sikharulidze,1976/10/25,6265 Brockport Spencerport Rd,Brockport,NY,14420,0567608551
141,Paul Kagame,1957/10/23,3100 Hough Rd,Florence,AL,35630,0897409092
142,Donny Deutsch,1957/11/22,209 Lakeshore Parkway,Homewood,AL,35209,0636207931
143,Robert B Reich,1946/06/24,100 Thruway Plaza,Cheektowaga,NY,14225,0414777886
144,Sun Myung Moon,1920/02/25,742 Main Street,North Oxford,MA,1537,0477639151
145,Irving Berlin,1888/05/11,1300 Montgomery Highway,Vestavia Hills,AL,35216,0290174631
146,Robert L Livingston,1943/04/30,150 Barnum Avenue Cutoff,Stratford,CT,6614,0810379286
147,Kirk Varnedoe,1946/01/18,301 Falls Blvd,Quincy,MA,2169,0585155343
148,Jon Stewart,1962/11/28,2181 Pelham Pkwy,Pelham,AL,35124,0505389236
149,Brian Cashman,1967/07/03,1717 South College Street,Auburn,AL,36830,0076643796
150,Tim McCarver,1941/10/16,43 Stephenville St,Massena,NY,13662,0685124982
151,Michael S Dukakis,1933/11/03,4300 Lakeville Road,Geneseo,NY,14454,0038654682
152,Mario Batali,1960/09/19,300 Colony Place,Plymouth,MA,2360,0152576611
153,Elizabeth S Grubman,1971/01/30,872 Route 13,Cortlandville,NY,13045,0057590915
154,Joe Mcilvaine,1947/01/01,301 Falls Blvd,Quincy,MA,2169,0048333920
155,Tobias Picker,1954/07/18,685 Schillinger Rd,Mobile,AL,36695,0324182764
156,Neil Gaiman,1960/11/10,1501 Hwy 14 East,Selma,AL,36703,0736929764
157,Timothy M Dolan,1950/02/06,6265 Brockport Spencerport Rd,Brockport,NY,14420,0998608925
158,Akhmad Kadyrov,1951/08/23,990 Route 5 20,Geneva,NY,14456,0016646744
159,Robert Lepage,1957/12/12,1600 Montclair Rd,Birmingham,AL,35210,0672195084
160,Mohamed Atta,1968/09/01,1950 W Main St,Centre,AL,35960,0066068217
161,NA Christo,NA,990 Route 5 20,Geneva,NY,14456,0263741734
162,David O Russell,1958/08/20,973 Gilbert Ferry Road Se,Attalla,AL,35954,0387569553
163,Samuel J LeFrak,1918/02/12,69 Prospect Hill Road,East Windsor,CT,6088,0086797886
164,Ellsworth Kelly,1923/05/31,16077 Highway 280,Chelsea,AL,35043,0190831302
165,Eric H Jr Holder,1951/01/21,25737 US Rt 11,Evans Mills,NY,13637,0112691819
166,Stephen Sondheim,1930/03/22,36 Paramount Drive,Raynham,MA,2767,0172947984
167,Ruhollah Khomeini,1900/09/24,141 Washington Ave Extension,Albany,NY,12205,0475335344
168,Haile Gebrselassie,1973/04/18,2200 South Mckenzie St,Foley,AL,36535,0468339244
169,Ellen Burstyn,1932/12/07,3164 Berlin Turnpike,Newington,CT,6111,0208973263
170,Jennifer M Granholm,1959/02/05,5100 Hwy 31,Calera,AL,35040,0294724889
171,Raymond W Smith,NA,540 West Bypass,Andalusia,AL,36420,0633273017
172,Alan Schwarz,1968/07/03,72 Main St,North Reading,MA,1864,0764592129
173,Frank Langella,1938/01/01,145 Kelley Blvd,Millbrook,AL,36054,0936629149
174,Peter Gatien,1952/08/08,1100 New Haven Road,Naugatuck,CT,6770,0099443317
175,Vojislav Kostunica,1944/03/24,601 Frank Stottile Blvd,Kingston,NY,12401,0930345892
176,James Thurber,1894/12/08,7100 Aaron Aronov Drive,Fairfield,AL,35064,0338098148
177,Graeme Lloyd,1967/04/09,6265 Brockport Spencerport Rd,Brockport,NY,14420,0010838549
178,Bill Romanowski,1966/04/02,1600 Montclair Rd,Birmingham,AL,35210,0390690104
179,Felix Mendelssohn,1809/02/03,280 Washington Street,Hudson,MA,1749,0729301183
180,Wynton Marsalis,1961/10/18,750 Middle Country Road,Middle Island,NY,11953,0647901448
181,Rodney E Slater,1955/02/23,10675 Hwy 5,Brent,AL,35034,0671559142
182,Paul S Sarbanes,1933/02/03,474 Boston Post Road,North Windham,CT,6256,0101608705
183,Richard Schickel,1933/02/10,72 Main St,North Reading,MA,1864,0510079756
184,Hal R Varian,1947/03/18,1775 Washington St,Hanover,MA,2339,0364610460
185,Mohammed Riza Pahlevi,1919/10/26,3176 South Eufaula Avenue,Eufaula,AL,36027,0798564330
186,Linford Christie,1960/04/02,3018 East Ave,Central Square,NY,13036,0254488749
187,Christian Lacroix,1951/05/16,3801 Eastern Blvd,Montgomery,AL,36116,0857306505
188,Gray Davis,1942/12/26,1400 Farmington Ave,Bristol,CT,6010,0205638083
189,Marianne Faithfull,1946/12/29,1095 Industrial Pkwy,Saraland,AL,36571,0918506892
190,Omar Minaya,1958/11/10,2900 S Mem PkwyDrake Ave,Huntsville,AL,35801,0889270742
191,John Patrick Shanley,1950/10/03,900 Boston Post Road,Guilford,CT,6437,0904714244
192,William F Baker,NA,465 Bridgeport Avenue,Shelton,CT,6484,0960505033
193,Frida Kahlo,1907/07/06,4975 Transit Rd,Lancaster,NY,14086,0090508000
194,Jamil Mahuad,1949/07/29,85 Crooked Hill Road,Commack,NY,11725,0725179327
195,Matthew Klam,1964/01/01,2900 S Mem PkwyDrake Ave,Huntsville,AL,35801,0175256356
196,Diane Keaton,1946/01/05,69 Prospect Hill Road,East Windsor,CT,6088,0441419438
197,Richard J Riordan,1930/05/01,677 Timpany Blvd,Gardner,MA,1440,0125955421
198,Thane Rosenbaum,1960/01/01,2400 Route 9,Fishkill,NY,12524,0296449641
199,Sally Mann,1951/01/01,3191 County rd 10,Canandaigua,NY,14424,0977182151
200,Jerry Rice,1962/10/13,92 Plaza Lane,Oxford,AL,36203,0562125383
201,Rick Moody,1961/10/18,579 Troy-Schenectady Road,Latham,NY,12110,0252547563
202,Steve Buscemi,1957/12/13,851 Ann St,Montgomery,AL,36107,0689983823
203,Theodore B Olson,1940/09/11,680 Connecticut Avenue,Norwalk,CT,6854,0825393320
204,David Baltimore,1938/03/07,41 Anawana Lake Road,Monticello,NY,12701,0059786897
205,Robert W Pittman,1953/12/28,2200 South Mckenzie St,Foley,AL,36535,0095324886
206,Kenneth T Jackson,1939/01/01,6140A Univ Drive,Huntsville,AL,35806,0493915805
207,Lori Helene Berenson,1969/11/13,1549 Rt 9,Halfmoon,NY,12065,0223932769
208,Angelo R Mozilo,1938/01/01,233 5th Ave Ext,Johnstown,NY,12095,0610517198
209,Johannes Rau,1931/01/16,4310 Montgomery Hwy,Dothan,AL,36303,0501211535
210,Julian Barnes,1946/01/19,9248 Parkway East,Birmingham,AL,35206,0353808741
211,Leon Wieseltier,1952/06/14,677 Timpany Blvd,Gardner,MA,1440,0734282055
212,Jay M Pasachoff,1943/01/01,3222 State Rt 11,Malone,NY,12953,0358129744
213,Judith H Dobrzynski,1949/03/08,255 W Main St,Avon,CT,6001,0744683405
214,Kirk Kerkorian,1917/06/06,340 East Meighan Blvd,Gadsden,AL,35903,0603821498
215,Wendy Kaminer,1949/01/01,1625 Pelham South,Jacksonville,AL,36265,0785366490
216,Simon Doonan,1952/01/01,3949 Route 31,Clay,NY,13041,0484170052
217,Fred Funk,1956/06/14,55 Brooksby Village Way,Danvers,MA,1923,0375067202
218,Albert Belle,1966/08/25,10401 Bennett Road,Fredonia,NY,14063,0242037886
219,Barbara A Mikulski,1936/07/20,501 Willow Lane,Greenville,AL,36037,0123667200
220,Josef Ackermann,1948/02/07,1470 S Washington St,North Attleboro,MA,2760,0845976066
221,Sam Shepard,1979/01/16,1625 Pelham South,Jacksonville,AL,36265,0718944872
222,Robert Lipsyte,1938/01/16,1625 Pelham South,Jacksonville,AL,36265,0983759077
223,Bill Cowher,1957/05/08,2041 Douglas Avenue,Brewton,AL,36426,0183615912
224,Benedict Carey,1960/03/03,1400 County Rd 64,Horseheads,NY,14845,0039005745
225,Kirk Douglas,1916/12/09,250 Hartford Avenue,Bellingham,MA,2019,0950341268
226,Brian de Palma,1940/09/11,750 Middle Country Road,Middle Island,NY,11953,0270218029
227,John Cage,1912/09/05,374 William S Canning Blvd,Fall River,MA,2721,0798496074
228,Wayne Ferreira,1971/09/15,1365 Boston Post Road,Milford,CT,6460,0644255232
229,Isamu Noguchi,1904/11/17,742 Main Street,North Oxford,MA,1537,0740550519
230,Olga Borodina,1963/07/29,5919 Trussville Crossings Pkwy,Birmingham,AL,35235,0655821592
231,Judy Garland,1922/06/10,3191 County rd 10,Canandaigua,NY,14424,0133944790
232,Tom Golisano,1941/11/14,630 Coonial Promenade Pkwy,Alabaster,AL,35007,0409201776
233,William J Jr Pascrell,1937/01/25,5100 Hwy 31,Calera,AL,35040,0458235965
234,Richard A Gephardt,1941/01/31,4975 Transit Rd,Lancaster,NY,14086,0891203060
235,Carlton Dotson,NA,1100 New Haven Road,Naugatuck,CT,6770,0871456239
236,John Hume,1937/01/18,6438 Basile Rowe,East Syracuse,NY,13057,0467721657
237,NA Benedict XVI,1927/04/16,70 Pleasant Valley Street,Methuen,MA,1844,0891932817
238,Robert Giroux,1914/04/08,72 Main St,North Reading,MA,1864,0310887963
239,Sonny Rollins,1930/09/07,1549 Rt 9,Halfmoon,NY,12065,0406605666
240,Theodore C Sorensen,1928/05/08,2041 Douglas Avenue,Brewton,AL,36426,0032120717
241,Gloria Trevi,1968/02/15,2453 2Nd Avenue East,Oneonta,AL,35121,0585831116
242,Howard Cross,1967/08/08,1818 State Route 3,Fulton,NY,13069,0796343670
243,Raymond Bonner,1942/01/01,1501 Skyland Blvd E,Tuscaloosa,AL,35405,0149229453
244,John Hope Franklin,1915/01/02,7155 State Rt 12 S,Lowville,NY,13367,0916222308
245,Daniel Ortega Saavedra,1945/11/11,2643 Hwy 280 West,Alexander City,AL,35010,0144111762
246,Kamal Kharrazi,1944/12/01,470 Route 211 East,Middletown,NY,10940,0187176273
247,Larry Doby,1923/12/13,2473 Hackworth Road,Adamsville,AL,35005,0066534765
248,Jessie Armstead,1970/10/26,170 Fort Morgan Road,Gulf Shores,AL,36542,0642450427
249,Philip Seymour Hoffman,1967/07/23,5100 Hwy 31,Calera,AL,35040,0980225700
250,Al Amin Khalifa Fhimah,1956/04/04,121 Worcester Rd,Framingham,MA,1701,0437342332
251,Jonathan J Pollard,1954/08/07,591 Memorial Dr,Chicopee,MA,1020,0043113210
252,Pat Roberts,1936/04/20,315 Foxon Blvd,New Haven,CT,6513,0530252528
253,Peter Applebome,NA,41301 US Hwy 280,Sylacauga,AL,35150,0776995233
254,Howard H Jr Baker,1925/11/15,1000 State Route 36,Hornell,NY,14843,0655541884
255,Mary Frances Berry,1938/02/17,970 Torringford Street,Torrington,CT,6790,0451970020
256,Jack Valenti,1921/09/05,1100 New Haven Road,Naugatuck,CT,6770,0482427309
257,David N Edelstein,1910/02/16,6438 Basile Rowe,East Syracuse,NY,13057,0558879833
258,Amy Winehouse,1983/09/14,677 Timpany Blvd,Gardner,MA,1440,0790242078
259,Geno Auriemma,1954/03/23,5399 W Genesse St,Camillus,NY,13031,0016046653
260,Virginia Woolf,1882/01/25,280 Washington Street,Hudson,MA,1749,0097531178
261,Federico F Pena,1947/03/15,2500 Dawes Road,Mobile,AL,36695,0903860538
262,Wesley Snipes,1962/07/31,3100 Hough Rd,Florence,AL,35630,0675430189
263,Magnus Norman,1976/05/30,3801 Eastern Blvd,Montgomery,AL,36116,0656263673
264,NA Jay-Z,1969/12/04,1717 South College Street,Auburn,AL,36830,0460721274
265,Mark Landler,1965/10/26,10040 County Road 48,Fairhope,AL,36533,0947341741
266,Margo Jefferson,1947/10/17,288 Larkin,Monroe,NY,10950,0072586251
267,Hanif Kureishi,1954/12/05,42 Fairhaven Commons Way,Fairhaven,MA,2719,0329910813
268,John Franco,1960/09/17,601 Frank Stottile Blvd,Kingston,NY,12401,0571092414
269,Hale Irwin,1945/06/03,315 Foxon Blvd,New Haven,CT,6513,0636368721
270,Denise Cote,1946/01/01,41 Anawana Lake Road,Monticello,NY,12701,0306357010
271,Jay M Pasachoff,1943/01/01,450 Highland Ave,Salem,MA,1970,0530654786
272,Richard Taruskin,1945/01/01,8551 Whitfield Ave,Leeds,AL,35094,0212918332
273,Nicholas Christopher,1951/01/01,970 Torringford Street,Torrington,CT,6790,0943360684
274,Savion Glover,1973/11/19,180 North King Street,Northhampton,MA,1060,0607788586
275,Ryan Newman,1977/12/08,1950 W Main St,Centre,AL,35960,0630904867
276,Dieter Zetsche,1953/05/05,1450 No Brindlee Mtn Pkwy,Arab,AL,35016,0987225651
277,Frances McDormand,1957/06/23,2181 Pelham Pkwy,Pelham,AL,35124,0190252535
278,Art Howe,1946/12/15,1950 W Main St,Centre,AL,35960,0537829540
279,Ruud Lubbers,1939/05/07,1300 Gilmer Ave,Tallassee,AL,36078,0003702794
280,Rocco Mediate,1962/12/17,1600 Montclair Rd,Birmingham,AL,35210,0763363154
281,George R Tiller,1941/08/08,1501 Skyland Blvd E,Tuscaloosa,AL,35405,0418972859
282,John W Warner,1927/02/18,3186 Hwy 171 North,Fayette,AL,35555,0599793659
283,Dan Glickman,1944/11/24,2041 Douglas Avenue,Brewton,AL,36426,0797256848
284,Gianni Versace,1946/12/02,301 Massachusetts Ave,Lunenburg,MA,1462,0852406454
285,Patty Schnyder,1978/12/14,255 W Main St,Avon,CT,6001,0524678847
286,Paul Cayard,1959/05/19,209 Lakeshore Parkway,Homewood,AL,35209,0547342848
287,John C Yoo,1967/07/10,5033 Transit Road,Clarence,NY,14031,0466338065
288,Floyd Landis,1975/10/14,280 Washington Street,Hudson,MA,1749,0173444423
289,Andrea Bocelli,1958/09/22,235 Queen St,Southington,CT,6489,0533911673
290,Jaromir Jagr,1972/02/15,6265 Brockport Spencerport Rd,Brockport,NY,14420,0628688224
291,Anne-Sophie Mutter,1963/06/29,139 Merchant Place,Cobleskill,NY,12043,0706676385
292,Hans Christian Andersen,1805/04/02,750 Academy Drive,Bessemer,AL,35022,0635251307
293,Daniel Faulkner,NA,690 Hwy 78,Sumiton,AL,35148,0333285477
294,Timothy M Kaine,1958/02/26,11 Jungle Road,Leominster,MA,1453,0684517885
295,Steve Fossett,1944/04/22,120 Commercial Parkway,Branford,CT,6405,0273052355
296,Kemal Ataturk,1881/01/01,6438 Basile Rowe,East Syracuse,NY,13057,0284605274
297,Todd Zeile,1965/09/09,141 Washington Ave Extension,Albany,NY,12205,0968601914
298,David E Kendall,1944/01/01,374 William S Canning Blvd,Fall River,MA,2721,0511900180
299,Franz Joseph Haydn,1732/03/31,340 East Meighan Blvd,Gadsden,AL,35903,0679478622
300,Jimi Hendrix,1942/11/27,517 West Avalon Ave,Muscle Shoals,AL,35661,0686336272
301,Will Ferrell,1967/07/16,655 Boston Post Rd,Old Saybrook,CT,6475,0355951913
302,John Turturro,1957/02/28,101 Sanford Farm Shpg Center,Amsterdam,NY,12010,0832814894
303,Budd Schulberg,1914/03/27,11697 US Hwy 431,Guntersville,AL,35976,0890888477
304,Walt Disney,1901/12/05,55 Brooksby Village Way,Danvers,MA,1923,0052625322
305,John W Snow,1939/08/02,830 Curran Memorial Hwy,North Adams,MA,1247,0119910496
306,William Kristol,1952/12/23,2300 Dixwell Ave,Hamden,CT,6514,0903395517
307,Rudyard Kipling,1865/12/30,10710 Chantilly Pkwy,Montgomery,AL,36117,0075772200
308,Lleyton Hewitt,1981/02/24,701 Mcmeans Ave,Bay Minette,AL,36507,0969495317
309,J Dennis Hastert,1942/01/02,450 Highland Ave,Salem,MA,1970,0370883142
310,Robert M Morgenthau,1919/07/31,777 Brockton Avenue,Abington,MA,2351,0123285167
